# release=release/3.7.x	openai_frontier=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	openai_head=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	meta_frontier=2054eb494623fbd1622c6c3d1ba18236151b97e2	main_head=f4ce95721a17e303b6f2db96721515d53590d3be
#source	present	class	sha	subject
meta-main	new	amd	d22505f10	[TLX][AMD] warp-pipe bmm Inductor template (baseline for aten.bmm autotune) (#2347)
meta-main	new	fix	9e01114b6	[tlx] Match async_dot shape asserts to PTX ISA 9.3 tcgen05 limits (#2344)
meta-main	new	amd	c02e9a940	[TLX][AMD] warp-pipe bmm: register-path fallback for unaligned K (T280910119) (#2348)
meta-main	new	fix	6242dffd0	[TLX] Fix Fa4 bwd register spilling (#2355)
meta-main	new	other	41644c952	[AutoWS][NFC] TMEM top-K enumeration + memtype-only annotations (default-neutral) (#2317)
meta-main	new	fix	830ca4e72	[AutoWS] Fix f16-in-f32 TMEM reuse materialization validation (#2318)
meta-main	new	fix	17846b7e0	[AutoWS] Sound N-way reuse predicate + memory-planner verify harness (#2359)
meta-main	new	other	b4bf29b98	Add adaptive symmetric-memory All-Gather tutorial (#2361)
meta-main	new	other	8cec2f349	[Triton][auto-TMA][5/N] device-descriptor mode + FA-enabling analysis (#1991)
meta-main	new	other	13e9a1d7e	[Triton][auto-TMA][6/N] plain-tl.load Flash Attention (device auto-TMA) + target (#2005)
meta-main	new	other	d82b6d8a8	[triton][tlx] Collapse TensorDescriptor args by type in TTGIR-to-TLX (#2357)
meta-main	new	fix	cf4a4396c	[AutoWS] Form N-way TMEM sibling reuse via post-pass repair (fixes BM128) (#2360)
meta-main	new	other	4d49bc7be	[Triton] Increase C dispatcher limits for kernels with many TensorDescriptor args (#2363)
meta-main	new	amd	99eabfb80	[TLX][AMD] warp-pipe bmm: add BLOCK_K=32 configs for the odd-K register path (#2366)
meta-main	new	other	cffb86b52	[triton][tlx] Substitute warp_specialize captures from the partitions op (#2358)
meta-main	new	fix	bfc5d7ea9	[triton][PR] sched2tlx: add case11_wait_order, a schedule-draw order-sensitivity fixture (#2305)
meta-main	new	fix	a8edbe073	[triton][bitequiv] Forward interpreter Phase 1+2: cross-warp SmemModel (scalar exchange) (#2314)
meta-main	new	fix	b09b1ce52	[triton] Fix pre-existing tut09 + TritonGPU LIT test failures (#2364) [tlx-test]
meta-main	new	fix	e1296e025	[TLX][GFX950]Add Flash-Attention backward support for two BF16 configurations (#2282) [tlx-test]
meta-main	new	fix	861f31dcc	[TLX] denoise.sh: fix AMD/MI350 clock lock + model detection (#2341)
meta-main	new	other	58caf8f36	[sched2tlx] Document sched2tlx performance testing workflow (#2386)
meta-main	new	fix	659e561a9	[AMD][TLX] Lower clock64 to s_memtime [tlx-test]
meta-main	new	fix	439413ab8	[TLX][AMD] Port the gluon gfx950 mxfp kernel to TLX (#2336) [tlx-test]
meta-main	new	bundle	d79d7b40f	[triton][beta] Cherry-pick upstream reduction/layout bundle (#1877)
meta-main	new	other	a3d43c0f0	[TLX] Disable generic software pipelining (#2381)
meta-main	new	other	1a4b56dc2	[AutoWS][HSTU] Enable autoWS on self-attn backward + TLX-matching dq-reduce (#2309)
meta-main	new	other	33334407d	[AutoWS][HSTU self] Fwd fold + FA-style manual data-partition + harness + tests (#2310)
meta-main	new	other	b325f8a48	[AutoWS][HSTU self] Make autoWS config runtime-switchable (#2308)
meta-main	new	other	c9878933f	[ci] run hstu_cross_attention_bwd + ragged_attention self-attn autoWS on b200 (#2387)
meta-main	new	other	d90a2155a	[triton][beta] [Cherry-pick] '[NVIDIA] Initial support for Rubin (#10936)' (#2253)
meta-main	new	other	5c2e20eb7	[triton][beta] [Cherry-pick] '[Rubin] Misc MMA enhancement and `mbarrier.arrive.multicast` support (#10941)' (#2254)
meta-main	new	fix	e0083756d	[AMD][gfx950][TLX] a4w4 8-wave inter-wave MXFP4 GEMM (#2392) [tlx-test]
meta-main	new	fix	40f63be90	Back out "[triton][PR] sched2tlx: add case11_wait_order, a schedule-draw order-sensitivity fixture" (#2393)
meta-main	new	amd	6c90b0755	[triton][beta] [Cherry-pick] '[AMD] Enable supportBitwidth{16|32}Elementwise in TargetInfo (#9509)' (#2388)
meta-main	new	other	a7b36e5af	[triton][beta] [Cherry-pick] '[MultiCTA][Membar] Add fence + cluster relaxed automatically (#9615)' (#2389)
meta-main	new	amd	751b250a3	[triton][beta] [Cherry-pick] '[AMD] Enable f32 vectorized reduction path for CDNA2-4 (#9724)' (#2390)
meta-main	new	amd	055fa9953	[triton][beta] [Cherry-pick] '[AMD] Generalize in-thread tree reduction to support ternary grouping for max/min (#9897)' (#2391)
meta-main	new	amd	1974d71bd	[AMD] Drive modulo expansion from DDG schedule (#2362)
meta-main	new	other	9c1078c91	[Triton][auto-TMA][7/N] Enable FA backward to auto-promote plain pointer loads/stores to TMA + warp-specialization (#2055)
meta-main	new	other	0e1e8211f	[AutoWS][ModuloSched] Add contracted GEMM schedule exploration (#2395)
meta-main	new	fix	2d1d533c7	[TLX] Fix blackwell_scaled_mm_ws blockwise SMEM OOR at large K (#2311)
meta-main	new	fix	df9e36dc3	[ModuloSchedule][test] Strip absolute-path debug locs from sched2tlx pre_modulo fixtures + refresh budget-reduction CHECK (#2510)
meta-main	new	other	5b5a539cd	Migrate HSTU attention to typed tensor descriptors (#2515)
meta-main	new	other	ae5cd1ba9	[triton][tlx] Emit ttg.memdesc_index as tlx.local_view in TTGIR-to-TLX (#2506)
meta-main	new	plumbing	abbffda59	[triton][beta] [Cherry-pick] '[triton-ext] plugin extension's version check (#9937)' (#2508)
meta-main	new	other	5167b34d4	[triton][beta] [Cherry-pick] '[DIALECT] Add `PredicatedOpInterface` interface (#9940)' (#2509)
meta-main	new	amd	7f23aa75e	[triton][beta] [Cherry-pick] '[AMD] Add PredicatedOpInterface to eligible AMD ops (#9956)' (#2512)
meta-main	new	fix	1e4c70195	Fix layout issues breaking AutoWS (#2516)
meta-main	new	other	f2b8d0b7c	[triton][beta] Support explicit TLX TMA multicast masks (#2517)
meta-main	new	fix	93d483eca	[AutoWS][DP] Fix self-attention forward compiler DP (#2307)
meta-main	new	bundle	f4ce95721	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 62 upstream(#10427 #10428 #10334 #10439 #10441 #10432 #10445 #10437 #10444 #10348 #10450 #10290 #10453 #10419 #10455 #10460 #10454 #10458 #10484 #10468 #10464 #10417 #10463 #10485 #10461 #10466 #10499 #1048 (#2511)
