# release=release/3.7.x	openai_frontier=6c96454f2fdec52b433937e76e07a7903f33e07d	openai_head=f797708c0626e5f9840ca5b0a98790e2c7cb09ad	meta_frontier=3e55adf1b66344259203671e2cf2d55921a5e42b	main_head=2054eb494623fbd1622c6c3d1ba18236151b97e2
#source	present	class	sha	subject
meta-main	new	other	8203dc3bc	[AutoWS] [BE] Collapse defaultNumStages alias (#2027)
meta-main	new	amd	e95d544db	[torchTLX] AMD FlexAttention Templates (gfx950/MI350) (#2003)
meta-main	new	other	aaa4ecb6d	[triton][bitequiv] exclude corpus kernels from OSS pre-commit yapf (#2034)
meta-main	new	other	568e791a6	[triton][bitequiv] Suite 2: make realistic Inductor GROUP 1 runnable (merge complex_fusion_eval) (#2012)
meta-main	new	fix	4f2446760	Fix tritonbench blackwell_attentions_mxfp8 CI (seq>=256) (#2041)
meta-main	new	other	5bc6c8a01	[triton][beta] [Cherry-pick] '[Blackwell] [Gluon] Support Blackwell 256-bit global load/store LLVM lowering (#10861)' (#2025)
meta-main	new	plumbing	f12244641	[CI] Bump TLX tutorial correctness test timeout 5→15 min (b200, h100) (#2029)
meta-main	new	other	6698a6a84	[AutoWS][ModuloSched] Standalone list scheduler: reorder + top-K/beam + per-loop pick
meta-main	new	other	6097c079e	[triton] Re-sync test_line_info FileCheck line numbers (#2043)
meta-main	new	amd	9ac5568a6	[TLX][AMD] Document direct-to-LDS requirements for buffer_load_to_local (#2035)
meta-main	new	amd	59283bfd7	[TLX][AMD] Add paged-attention decode kernel (#2040)
meta-main	new	other	f46e74bab	[triton][bitequiv] Suite 1: consolidated hand-written eval kernels (M1 + M3 GEMM + M2 layouts) (#2013)
meta-main	new	amd	56b4c7aaa	[triton] Gate NVIDIA-only beta unit tests correctly on AMD (#2050)
meta-main	new	bundle	ab7579836	[triton][beta] [Cherry-pick][BUNDLE] Cherry-pick 42 upstream(#10124 #10144 #10151 #10149 #10064 #10147 #10162 #10156 #10150 #10126 #10120 #10099 #9641 #10132 #10175 #10081 #10179 #10128 #10100 #10178 #10125 #10186 #10180 #10193 #9093 #10191 #10185... (#2031)
meta-main	new	other	da3dd080a	[triton] Derive NVIDIA launch signature from object signature, not str(ty) (#2045)
meta-main	new	fix	23f02c160	[TLX FA BWD] Fix intra-task warp race on aliased TMEM in the 2-CTA path (#1992)
meta-main	new	other	5b19662d1	[TLX] Respect user-pinned layouts via #tlx.user_layout wrapper (#2017)
meta-main	new	other	cf4db2746	[triton][auto-TMA][1/N] launcher recipe ABI (host-built CUtensorMap) (#1975)
meta-main	new	other	76d0bf520	[TLX] Add warp-specialized FP8 scaled_mm kernel for Blackwell (#1964)
meta-main	new	other	53bbc9412	[sched2tlx] case9: FP8 blockwise scaled_mm + first-class fp8 emitter support (#2053)
meta-main	new	other	4e2cc48bb	[Triton][auto-TMA][2/N] PromoteLoadToTMA pass -- host-recipe LOAD promotion (#1977)
meta-main	new	amd	321c0f667	[TLX][AMD] Fix warp-pipe addmm RAW race in async_load pipeline (unblocks all shapes) (#2058)
meta-main	new	other	23689abed	[sched2tlx] Add perf_harness compare subcommand + harness usage skill (#2057)
meta-main	new	other	3915b0ee8	[triton][beta] [Cherry-pick] '[Blackwell] Add pass to combine TMEM load followed by row reduction for sm103+ (#10551)' (#2142)
meta-main	new	other	697baf4ca	[Triton][auto-TMA][3/N] host-recipe STORE promotion (#1978)
meta-main	new	other	2054eb494	[Triton/TLX] Lower overhead Warp Spec LLVM lowering (#2054)
